
股票名称,市净率,行业名称,行业市净率,个股行业市净率比,市盈率,行业市盈率,个股行业市盈率比,最新价格,市值,日期,行业最新价格,行业市值,yahoo目标均价,yahoo目标最高价,yahoo目标最低价,当前价格,yahoo预测上涨/下跌空间(%),融资买入额,融券卖出额,VIX指数,CNN恐慌与贪婪指数
美亚光电,6.3484,专用设备,6.4526,0.9839,29.81,86.4513,0.3448,20.7,8871999519.9,2025-09-14,16.27,2057760786181.96,20.24,25.6,16.6,20.46,-1.08,63484.0,2981.0,14.71,54.23
鱼跃医疗,7.4057,医疗器械,5.1913,1.4265,16.28,56.5352,0.288,39.57,36722577885.84,2025-09-14,32.75,1503134969418.85,49.33,58.85,44.0,39.06,26.29,74057.0,1628.0,14.71,54.23
影视ETF,10.1188,,,,,,,11.44,80211765.0,2025-09-14,,,,,,,,,,14.71,54.23
瑞普生物,3.2593,农药兽药,2.7366,1.191,19.57,42.5424,0.46,21.76,7235179653.6,2025-09-14,11.29,345750751885.37,28.29,36.16,23.0,21.6,30.97,32593.0,1957.0,14.71,54.23
伊利股份,50.1797,食品饮料,5.6628,8.8613,12.41,40.1927,0.3088,28.72,177803514618.25,2025-09-14,20.06,1731190430404.42,,,,,,,,14.71,54.23
股票名称,市净率,行业名称,行业市净率,个股行业市净率比,市盈率,行业市盈率,个股行业市盈率比,最新价格,市值,日期,行业最新价格,行业市值,yahoo目标均价,yahoo目标最高价,yahoo目标最低价,当前价格,yahoo预测上涨/下跌空间(%),融资买入额,融券卖出额,VIX指数,CNN恐慌与贪婪指数
美亚光电,5.4581,专用设备,6.4006,0.8527,29.43,86.1064,0.3418,20.46,8759256613.0,2025-09-15,16.24,2054443099639.28,20.24,25.6,16.6,20.2,0.2,54581.0,2943.0,14.71,54.23
鱼跃医疗,6.7417,医疗器械,5.1948,1.2978,16.15,57.548,0.2806,39.06,36431128855.0,2025-09-15,32.66,1498897714125.74,49.33,58.85,44.0,38.75,27.3,67417.0,1615.0,14.71,54.23
影视ETF,10.5769,,,,,,,11.58,82497592.5,2025-09-15,,,,,,,,,,14.71,54.23
瑞普生物,3.9197,农药兽药,2.7353,1.433,19.91,43.5767,0.4569,21.6,7362465221.58,2025-09-15,11.28,345365419840.42,28.29,36.16,23.0,21.98,28.71,39197.0,1991.0,14.71,54.23
伊利股份,32.9494,食品饮料,5.5407,5.9467,12.4,40.0491,0.3096,28.25,177677636023.83,2025-09-15,20.0,1726689273691.34,,,,,,,,14.71,54.23
股票名称,市净率,行业名称,行业市净率,个股行业市净率比,市盈率,行业市盈率,个股行业市盈率比,最新价格,市值,日期,行业最新价格,行业市值,yahoo目标均价,yahoo目标最高价,yahoo目标最低价,当前价格,yahoo预测上涨/下跌空间(%),融资买入额,融券卖出额,VIX指数,CNN恐慌与贪婪指数
美亚光电,3.8634,专用设备,6.5236,0.5922,29.77,87.833,0.3389,20.2,8858990722.95,2025-09-16,16.46,2081756050440.85,20.24,25.6,16.6,20.43,-0.93,38634.0,2977.0,14.76,58.0
